anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
3940,"Wood Trades Workers, nfd","Wood Trades Workers, nfd",Wood Trades Workers nfd,4,1
3941,Cabinetmakers,Cabinetmakers,Cabinetmakers,4,0
3942,Wood Machinists and Other Wood Trades Workers,Wood Machinists and Other Wood Trades Workers,Wood Machinists and Other Wood Trades Workers,4,0
3990,"Miscellaneous Technicians and Trades Workers, nfd","Miscellaneous Technicians and Trades Workers, nfd",Miscellaneous Technicians and Trades Workers nfd,4,1
3991,Boat Builders and Shipwrights,Boat Builders and Shipwrights,Boat Builders and Shipwrights,4,0
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators","Chemical, Gas, Petroleum and Power Generation Plant Operators","Chemical, Gas, Petroleum and Power Generation Plant Operators",4,0
3993,"Gallery, Library and Museum Technicians","Gallery, Library and Museum Technicians","Gallery, Library and Museum Technicians",4,0
3994,Jewellers,Jewellers,Jewellers,4,0
3995,Performing Arts Technicians,Performing Arts Technicians,Performing Arts Technicians,4,0
3996,Signwriters,Signwriters,Signwriters,4,0
3999,Other Miscellaneous Technicians and Trades Workers,Other Miscellaneous Technicians and Trades Workers,Other Miscellaneous Technicians and Trades Workers,4,0
4000,"Community and Personal Service Workers, nfd","Community and Personal Service Workers, nfd",Community and Personal Service Workers nfd,4,1
4110,"Health and Welfare Support Workers, nfd","Health and Welfare Support Workers, nfd",Health and Welfare Support Workers nfd,4,1
4111,Ambulance Officers and Paramedics,Ambulance Officers and Paramedics,Ambulance Officers and Paramedics,4,0
4112,"Dental Hygienists, Technicians and Therapists","Dental Hygienists, Technicians and Therapists","Dental Hygienists, Technicians and Therapists",4,0
4113,Diversional Therapists,Diversional Therapists,Diversional Therapists,4,0
4114,Enrolled and Mothercraft Nurses,Enrolled and Mothercraft Nurses,Enrolled and Mothercraft Nurses,4,0
4115,Indigenous Health Workers,Indigenous Health Workers,Indigenous Health Workers,4,0
4116,Massage Therapists,Massage Therapists,Massage Therapists,4,0
4117,Welfare Support Workers,Welfare Support Workers,Welfare Support Workers,4,0
4200,"Carers and Aides, nfd","Carers and Aides, nfd",Carers and Aides nfd,4,1
4211,Child Carers,Child Carers,Child Carers,4,0
4221,Education Aides,Education Aides,Education Aides,4,0
4230,"Personal Carers and Assistants, nfd","Personal Carers and Assistants, nfd",Personal Carers and Assistants nfd,4,1
4231,Aged and Disabled Carers,Aged and Disabled Carers,Aged and Disabled Carers,4,0
4232,Dental Assistants,Dental Assistants,Dental Assistants,4,0
4233,Nursing Support and Personal Care Workers,Nursing Support and Personal Care Workers,Nursing Support and Personal Care Workers,4,0
4234,Special Care Workers,Special Care Workers,Special Care Workers,4,0
4310,"Hospitality Workers, nfd","Hospitality Workers, nfd",Hospitality Workers nfd,4,1
4311,Bar Attendants and Baristas,Bar Attendants and Baristas,Bar Attendants and Baristas,4,0
4312,Cafe Workers,Cafe Workers,Cafe Workers,4,0
4313,Gaming Workers,Gaming Workers,Gaming Workers,4,0
4314,Hotel Service Managers,Hotel Service Managers,Hotel Service Managers,4,0
